Profile Link,Score,Rank
https://github.com/mdo,896402520,Leader
https://github.com/yyx990803,334319144,Leader
https://github.com/cvrebert,243908016,Top 10
https://github.com/photonstorm,231436191,Leader
https://github.com/tj,158933674,Leader
https://github.com/XhmikosR,151969296,Top 10
https://github.com/benjamn,144275010,Leader
https://github.com/glasser,140727940,Top 10
https://github.com/fat,111543300,Top 10
https://github.com/adamdbradley,81164447,Leader
https://github.com/dgreensp,76097025,Top 10
https://github.com/brandyscarney,73369868,Top 10
https://github.com/Slava,60506415,Top 10
https://github.com/manucorporat,57199025,Top 10
https://github.com/petebacondarwin,54828205,Leader
https://github.com/Dogfalo,49346240,Leader
https://github.com/tommy351,48981624,Leader
https://github.com/stubailo,48586610,Top 10
https://github.com/vsavkin,47842760,Top 10
https://github.com/gkalpak,47289955,Top 10
https://github.com/Johann-S,46510176,Top 10
https://github.com/vicb,46033580,Top 10
https://github.com/dougwilson,43665078,Top 10
https://github.com/acburst,43540800,Top 10
https://github.com/IgorMinar,42867515,Top 10
https://github.com/avital,41698695,Top 10
https://github.com/tbosch,39600940,Top 10
https://github.com/ac360,39302283,Leader
https://github.com/pmuens,37477197,Top 10
https://github.com/n1mmy,36666805,Top 10
https://github.com/patrickhlauke,29068860,Top 10
https://github.com/mhevery,28544840,Top 10
https://github.com/alexeagle,27791015,Top 10
https://github.com/eahefnawy,27753894,Top 10
https://github.com/MartijnCuppens,26635188,Top 10
https://github.com/gschmidt,24705755,Top 10
https://github.com/alxhub,23770615,Top 10
https://github.com/ekatek,22272300,Top 10
https://github.com/abernix,22066075,Top 10
https://github.com/pkozlowski-opensource,21710160,Top 10
https://github.com/mlynch,21522345,Top 10
https://github.com/kara,21408630,None
https://github.com/hnrch02,21227028,Top 10
https://github.com/matsko,20202510,None
https://github.com/danbucholtz,18924152,Top 10
https://github.com/tlancina,17179097,Top 10
https://github.com/chuckjaz,16885680,None
https://github.com/marclaval,15579050,None
https://github.com/medikoo,15324429,Top 10
https://github.com/martijnwalraven,13899565,None
https://github.com/justinsb,13858320,None
https://github.com/mhartington,13417534,Top 10
https://github.com/twbs-grunt,12844380,Top 10
https://github.com/drewrygh,12448059,Top 10
https://github.com/ysds,12438768,Top 10
https://github.com/devversion,11608905,None
https://github.com/juthilo,11221932,None
https://github.com/pavle-goloskokovic,10266852,Top 10
https://github.com/jasonaden,9598705,None
https://github.com/ocombe,9548450,None
https://github.com/bardiharborow,9464280,None
https://github.com/arbesfeld,8702695,None
https://github.com/tmeasday,8661450,None
https://github.com/vsn4ik,8517852,None
https://github.com/kkirsche,8517852,None
https://github.com/DavidWells,8370222,Top 10
https://github.com/Quy,7977036,None
https://github.com/gregmagolan,7890035,None
https://github.com/dschep,7866750,Top 10
https://github.com/btford,7638760,None
https://github.com/brandonroberts,7588505,None
https://github.com/wardbell,7487995,None
https://github.com/yjbanov,7286975,None
https://github.com/andresgalante,7165812,None
https://github.com/Hanks10100,6863081,Top 10
https://github.com/AndrewKushnir,6834680,None
https://github.com/hwillson,6681690,None
https://github.com/pat270,6624996,None
https://github.com/alan-agius4,6313529,None
https://github.com/nikgraf,6136065,Top 10
https://github.com/rkirov,6080855,None
https://github.com/pvdlg,5948976,None
https://github.com/jeffbcross,5930090,None
https://github.com/crisbeto,5879835,None
https://github.com/mprobst,5678815,None
https://github.com/benlesh,5628560,None
https://github.com/jbogarthyde,5578305,None
https://github.com/sjtrimble,5427540,None
https://github.com/defcc,5402851,Top 10
https://github.com/awwx,5361850,None
https://github.com/camwiegert,5312723,Top 10
https://github.com/vue-bot,5256828,Top 10
https://github.com/StevenBlack,5137752,None
https://github.com/kyliau,5126010,None
https://github.com/bitnenfer,4904709,Top 10
https://github.com/coliff,4867344,None
https://github.com/kazupon,4672736,Top 10
https://github.com/filipesilva,4623460,None
https://github.com/burnsra,4596936,None
https://github.com/horike37,4405380,Top 10
https://github.com/jthoms1,4382027,Top 10
https://github.com/liamdebeasi,4304469,None
https://github.com/Foxandxss,4271675,None
