Name,Username,Email,Website,Followers
Mark Otto,mdo,No Email Listed,http://mdo.fm,18.3k
Evan You,yyx990803,No Email Listed,http://evanyou.me,49.8k
Chris Rebert,cvrebert,No Email Listed,http://chrisrebert.com,1.3k
Richard Davey,photonstorm,No Email Listed,http://www.photonstorm.com,2.2k
TJ Holowaychuk,tj,No Email Listed,https://apex.sh,40.6k
No Name Listed,XhmikosR,No Email Listed,https://xhmikosr.io/,897
Ben Newman,benjamn,No Email Listed,http://twitter.com/benjamn,1.8k
David Glasser,glasser,No Email Listed,http://flickr.com/photos/glasser/,389
fat,fat,No Email Listed,http://twitter.com/fat,8.1k
Adam Bradley,adamdbradley,No Email Listed,https://twitter.com/adamdbradley,1.1k
David Greenspan,dgreensp,No Email Listed,No website listed,210
Brandy Carney,brandyscarney,No Email Listed,https://twitter.com/brandyscarney,803
Slava Kim,Slava,No Email Listed,http://devblog.me,786
Manu MA,manucorporat,No Email Listed,https://gin-gonic.github.io/gin/,838
Pete Bacon Darwin,petebacondarwin,No Email Listed,http://www.bacondarwin.com,986
Alvin Wang,Dogfalo,No Email Listed,No website listed,968
Tommy Chen,tommy351,No Email Listed,https://zespia.tw,1.7k
Sashko Stubailo,stubailo,No Email Listed,https://twitter.com/stubailo,1.1k
Victor Savkin,vsavkin,No Email Listed,http://nrwl.io,1.6k
George Kalpakas,gkalpak,No Email Listed,https://twitter.com/gkalpakas,404
Johann-S,Johann-S,No Email Listed,https://www.johann-servoire.fr,247
Victor Berchet,vicb,No Email Listed,No website listed,616
Douglas Wilson,dougwilson,No Email Listed,No website listed,2.4k
Alan Chang,acburst,No Email Listed,http://materializecss.com,108
Igor Minar,IgorMinar,No Email Listed,https://twitter.com/IgorMinar,2.9k
Avital Oliver,avital,No Email Listed,http://aoliver.org,378
Tobias Bosch,tbosch,No Email Listed,No website listed,553
Austen,ac360,No Email Listed,http://www.serverless.com,297
Philipp Muens,pmuens,No Email Listed,https://muens.co,387
Nick Martin,n1mmy,No Email Listed,http://nimlabs.org/~nim,174
